slug,text,stage,question_type,hint,next,previous,choices,created,updated,deleted_date,order,python_form
is-it-consulted,Is the {name} something to consult during plan making?,SCREEN,CHOOSE_ONE_FROM_LIST,Some considerations are consulted when performing tasks within the planning system.,"{""type"": ""condition"", ""conditions"": [{""slug"": ""is-consulted"", ""value"": ""Yes""}, {""slug"": ""existing-data"", ""value"": ""No""}], ""default_slug"": ""existing-data""}",is-it-a-trigger,"{Yes,No}",2024-04-17 00:00:00,2024-05-01 11:57:34.257074,,9,
is-consulted,Provide information about when {name} is used during plan making,SCREEN,TEXTAREA,Some considerations are consulted when performing tasks within the planning system.,"{""slug"": ""existing-data"", ""type"": ""slug""}",is-it-consulted,,2024-04-18 00:00:00,2024-05-01 11:57:34.262455,,10,
is-a-data-standard-required,Will a data standard be required?,SCREEN,CHOOSE_ONE_FROM_LIST,We want to flag if we think we'll need to aggregate data from multiple providers.,,single-source,"{Yes,No}",2024-04-17 00:00:00,2024-05-01 11:57:34.278862,,14,
existing-data,Is there any {name} data already available?,SCREEN,CHOOSE_ONE_FROM_LIST,,"{""type"": ""condition"", ""conditions"": [{""slug"": ""existing-data-examples"", ""value"": ""Yes""}, {""slug"": ""single-source"", ""value"": ""No""}], ""default_slug"": ""single-source""}",is-it-consulted,"{Yes,No}",2024-04-17 00:00:00,2024-05-01 11:17:18.624155,,11,
existing-data-examples,What {name} data is currently available?,SCREEN,ADD_TO_A_LIST,Capture examples of any data currently available.,"{""slug"": ""single-source"", ""type"": ""slug""}",existing-data,,2024-04-18 00:00:00,2024-05-01 11:17:18.631194,,12,ExistingDataForm
single-source,Do we think the data should come from a single source?,SCREEN,TEXTAREA,Some datasets should be published by a single organisation.,"{""slug"": ""is-a-data-standard-required"", ""type"": ""slug""}",existing-data,,2024-04-17 00:00:00,2024-05-01 11:17:18.637291,,13,
what-is-the-legislation-for-publication,What is the specific part of the legislation that requires the publication of '{name}'?,SCREEN,TEXTAREA,"We are looking for the legislation that specifically
            mentions data/registers or other","{""slug"": ""who-in-law-is-responsible-for-it"", ""type"": ""slug""}",what-is-the-legislation-that-defines-designation,,2024-04-09 00:00:00,2024-05-01 11:57:34.235978,,4,
lifecycle-stages,Document a stage of the high-level lifecycle of a {name},RESEARCH,ADD_TO_A_LIST,Provide details of the stage,"{""slug"": ""how-is-data-created"", ""type"": ""slug""}",lifecycle,,2024-04-23 00:00:00,,,1,LifecycleStagesForm
primary-users,Other than the statutory consultees who are the primary users of {name}? How do we expect them to use {name}?,RESEARCH,TEXTAREA,"List the actor or actors affected by the planning consideration, include how we expect each actor to actually use the data, what will they do with it and why?","{""slug"": ""user-and-data-needs"", ""type"": ""slug""}",statutory-consultees,,2024-04-19 00:00:00,2024-06-24 08:08:22.966382,,6,
additional-users,Who are the types of users who might benefit from having access to {name} data?,RESEARCH,TEXTAREA,"These are actors who may find the data useful, but are not the statutory user.","{""slug"": ""use-cases"", ""type"": ""slug""}",user-and-data-needs,,2024-04-19 00:00:00,2024-06-24 08:08:22.983654,,8,
use-cases,What are some potential uses of {name} data?,RESEARCH,TEXTAREA,,"{""slug"": ""value-to-platform"", ""type"": ""slug""}",additional-users,,2024-04-19 00:00:00,2024-06-24 08:08:22.989273,,9,
value-to-platform,What's the value of adding {name} data to the platform?,RESEARCH,TEXTAREA,Is there value in DLUHC investing time and effort in getting the data ready and re-publishing?,"{""slug"": ""risks"", ""type"": ""slug""}",use-cases,,2024-04-19 00:00:00,2024-06-24 08:08:22.993082,,10,
which-focus-area-does-it-support,Which 2024 focus area does the request support?,BACKLOG,CHOOSE_MULTIPLE_FROM_LIST,,,what-is-the-driver,"{""Modern planning software"",""Faster local plans"",""Included in LURA"",Other}",2024-04-09 00:00:00,2024-04-29 16:06:08.519588,,2,
what-is-the-driver,What is the driver for the request?,BACKLOG,CHOOSE_ONE_FROM_LIST,,"{""slug"": ""which-focus-area-does-it-support"", ""type"": ""slug""}",who-asked-for-it,"{""National policy change"",""Ministerial priority"",""Specific user requirement"",""LPA requirement"",""Existing planning requirement"",Other}",2024-04-09 00:00:00,2024-05-01 11:17:18.523487,,1,
what-is-the-legislation-that-defines-designation,What is the specific part of the legislation that describes how a '{name}' gets designated?,SCREEN,TEXTAREA,"We are looking for the legislation that specifically sets out who,
            where applicable, are the parties who are able to designate the planning consideration","{""slug"": ""what-is-the-legislation-for-publication"", ""type"": ""slug""}",what-is-the-legislation-that-defines,,2024-05-01 00:00:00,2024-05-01 11:57:34.230189,,3,
related-planning-considerations,What other planning considerations does it interact with?,RESEARCH,TEXTAREA,List the planning considerations it interacts with. Try to explain how.,"{""slug"": ""statutory-consultees"", ""type"": ""slug""}",where-is-data-used,,2024-04-19 00:00:00,2024-06-24 08:08:22.95391,,4,
statutory-consultees,Who are the statutory consultees for {name}?,RESEARCH,TEXTAREA,Create a list of the consultees and link to information about them where appropriate,"{""slug"": ""primary-users"", ""type"": ""slug""}",related-planning-considerations,,2024-06-24 08:08:22.961984,,,5,
risks,From what we have learnt so far are there any risks to making {name} data available?,RESEARCH,TEXTAREA,"This could be things like, the multiple sources of data, unclear licensing, lack of legislative driver, poor data quality, poorly defined requirements, ongoing costs on LPA, DLUHC etc.",null,value-to-platform,,2024-04-19 00:00:00,2024-06-24 08:08:22.996695,,11,
user-and-data-needs,What are the planning needs for this data?,RESEARCH,TEXTAREA,Either capture the needs here or link to where the needs have been recorded.,"{""slug"": ""additional-users"", ""type"": ""slug""}",primary-users,,2024-04-19 00:00:00,2024-06-25 13:04:46.536555,,7,
publishing-organisations,Which organisations do we think should publish the data?,SCREEN,CHOOSE_MULTIPLE_FROM_LIST,"","{""slug"": ""is-it-a-trigger"", ""type"": ""slug""}",who-in-law-is-responsible-for-it,"{""Architects Registration Board"",""Boundary Commission for England"",""Building Regulations Advisory Committee"",""Department for Education"",""Department for Environment, Food & Rural Affairs"",""Department for Transport"",""Development corporations"",""Environment Agency"",""Forestry Commission"",""Greater London Authority"",""HM Land Registry"",""Health and Safety Executive"",""Historic England"",""Homes England"",""Housing Ombudsman"",""Leasehold Advisory Service"",""Local authorities"",""Local enterprise partnerships"",""Ministry of Housing, Communities & Local Government"",""National park authorities"",""Natural England"",""Office for National Statistics"",""Ordnance Survey"",""Passenger transport exectutive"",""Planning Inspectorate"",""RSPB (Royal Society for the Protection of Birds)"",""Regional park authorities"",""Regulator of Social Housing"",""Royal Mail"",""Sport England"",""The Coal Authority"",""The National Grid"",""UK Air (Defra)"",""UKRadon (UKHSA)"",""Valuation Office Agency"",""Valuation Tribunal Service"",""Valuation Tribunal for England"",""Waste authorities"",""Woodland Trust"",Unknown}",2024-04-17 00:00:00,2024-09-17 10:36:15.849632,,6,
