slug,text,stage,question_type,hint,next,previous,choices,created,updated,deleted_date,order,python_form
what-is-the-planning-consideration,What is the '{name}' consideration?,SCREEN,TEXTAREA,"Provide a description of this planning consideration.
            The common name for the planning consideration should be used here","{""slug"": ""is-there-legislation"", ""type"": ""slug""}",,,2024-04-09 00:00:00,2024-04-22 16:16:20.075531,,0,
lifecycle,Do we understand the lifecycle of a {name}?,RESEARCH,CHOOSE_ONE_FROM_LIST,,"{""type"": ""condition"", ""conditions"": [{""slug"": ""lifecycle-stages"", ""value"": ""Yes""}, {""slug"": ""how-is-data-created"", ""value"": ""No""}], ""default_slug"": ""how-is-data-created""}",,"{Yes,No}",2024-04-18 00:00:00,2024-04-24 11:23:26.921006,,0,
how-is-data-created,Do we understand how the data is created/produced?,RESEARCH,TEXTAREA,What is the recipe? How do we think the publisher does this?,"{""slug"": ""where-is-data-used"", ""type"": ""slug""}",lifecycle,,2024-04-18 00:00:00,2024-04-23 10:45:03.051201,,2,
where-is-data-used,Where will or should the data be used?,RESEARCH,TEXTAREA,Where do we expect the data to be used and for what purpose.,"{""slug"": ""related-planning-considerations"", ""type"": ""slug""}",how-is-data-created,,2024-04-19 00:00:00,2024-04-23 10:45:03.06011,,3,
is-there-legislation,Is there legislation that defines '{name}'?,SCREEN,CHOOSE_ONE_FROM_LIST,Tell us where it is,"{""type"": ""condition"", ""conditions"": [{""slug"": ""what-is-the-legislation-that-defines"", ""value"": ""Yes""}], ""default_slug"": ""who-in-law-is-responsible-for-it""}",what-is-the-planning-consideration,"{Yes,No}",2024-04-09 00:00:00,2024-04-22 16:16:20.080662,,1,
who-asked-for-it,Who asked for '{name}' data?,BACKLOG,INPUT,"Give a specific name and role. E.g. Eloise, policy.","{""slug"": ""what-is-the-driver"", ""type"": ""slug""}",,,2024-04-09 00:00:00,2024-05-01 11:17:18.513285,,0,
what-is-the-legislation-that-defines,What is the legislation that defines '{name}'?,SCREEN,TEXTAREA,We are looking for the legislation that specifically sets what the consideration is and why it matters in planning.,"{""slug"": ""what-is-the-legislation-that-defines-designation"", ""type"": ""slug""}",is-there-legislation,,2024-04-09 00:00:00,2024-05-01 11:17:18.541282,,2,
what-is-triggered,What needs to be done because {name} has acted as the trigger?,SCREEN,TEXTAREA,,"{""slug"": ""is-it-consulted"", ""type"": ""slug""}",is-it-a-trigger,,2024-04-18 00:00:00,2024-05-01 11:57:34.251507,,8,
who-in-law-is-responsible-for-it,"Who, in law, is responsible for the planning consideration or makes decisions about '{name}'?",SCREEN,TEXTAREA,We are looking for the legislation that imposes this accountability on an organisation,"{""slug"": ""publishing-organisations"", ""type"": ""slug""}",what-is-the-legislation-for-publication,,2024-04-09 00:00:00,2024-05-01 11:17:18.561763,,5,
is-it-a-trigger,Is the {name} a trigger?,SCREEN,CHOOSE_ONE_FROM_LIST,Considerations can trigger a need to do something or a series of things.,"{""type"": ""condition"", ""conditions"": [{""slug"": ""what-is-triggered"", ""value"": ""Yes""}, {""slug"": ""is-it-consulted"", ""value"": ""No""}], ""default_slug"": ""is-it-consulted""}",publishing-organisations,"{Yes,No}",2024-04-17 00:00:00,2024-05-01 11:17:18.581837,,7,
