id,name,description,synonyms,github_discussion_number,stage,public,expected_number_of_records,frequency_of_updates,prioritised,datasets,useful_links,legislation,slug,created,updated,deleted_date,specification,is_local_land_charge,blocked_reason,os_declaration,is_local_plan_data
adc9c085-ee94-4c92-9c70-949b3992944b,Waste and recycling statistics,Information on waste generation and management,,272,BACKLOG,t,,,f,,,,waste-and-recycling-statistics,2024-03-25,2025-01-28 17:10:12.176425,,,f,,,f
2f57aaf8-03e2-4f98-bf5e-fb066631e32b,Site allocations,"Areas identified as sites for housing, employment, retail or green space to be developed in the future",,42,CO_DESIGN,t,,AD_HOC,f,,,,site-allocations,2024-03-25,2024-09-02 14:12:45.141587,,,f,Has been deprioritised for now.,,t
a771a6f1-b79f-4a12-be15-a9ff7fb40058,Brownfield land,Previously developed land that's no longer being used,,28,ON_THE_PLATFORM,t,,ANNUALLY,f,"[{""name"": ""brownfield-land"", ""label"": ""Brownfield land"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/brownfield-land.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/brownfield-land"", ""dataset_editor_url"": null}, {""name"": ""brownfield-site"", ""label"": ""Brownfield site"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/brownfield-site.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/brownfield-site"", ""dataset_editor_url"": null}]","[{""link_url"": ""https://www.gov.uk/guidance/brownfield-land-registers"", ""link_text"": ""Brownfield land registers guidance""}, {""link_url"": ""https://www.gov.uk/government/publications/brownfield-land-registers-data-standard"", ""link_text"": ""Brownfield land registers data standard""}]","{""link_url"": ""https://www.legislation.gov.uk/uksi/2017/403/contents/made"", ""link_text"": ""The Town and Country Planning (Brownfield Land Register) Regulations 2017""}",brownfield-land,2024-03-25,2024-09-04 15:01:51.227399,,"{""link_url"": ""https://digital-land.github.io/specification/specification/brownfield-land/"", ""link_text"": ""Brownfield Land""}",f,,,t
f31b91a9-db04-48c5-bd33-124efaf0dbc2,Advertisments,Areas where hoardings or similar are used for advertising,,,ARCHIVED,t,,,f,,,,advertisments,2024-03-25,2024-04-09 14:01:21.324915,,,f,,,f
f160755d-01b3-4b7e-8f5c-cb18400b53fc,"Gypsy, Roma & traveller sites","An area of land where gypsy, Roma and traveller communities live which may be owned and managed privately or by the council",,35,CO_DESIGN,t,,UNKNOWN,f,"[{""name"": ""gypsy-and-traveller-site"", ""label"": ""Gypsy and traveller site"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/gypsy-and-traveller-site.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/gypsy-and-traveller-site"", ""dataset_editor_url"": null}]","[{""link_url"": ""https://www.gov.uk/government/publications/planning-policy-for-traveller-sites"", ""link_text"": ""Planning policy for traveller sites""}]",,gypsy-roma-traveller-sites,2024-03-25,2024-09-05 11:04:55.012157,,,f,Waiting for engagement on the [draft data model](https://miro.com/app/board/uXjVNIiMA2Y=/?share_link_id=116913957286).,,t
9d7b5fea-693c-4ca3-bd12-afde38e0360f,Authority monitoring reports (amrs),"Local planning authorities must publish information at least annually, monitoring their progress on various planning activities, such as Local Plan preparation, activities relating to the duty to cooperate, indicators in the plan, and poligies which are not being implemented.","{""Annual Monitoring Report""}",,CO_DESIGN,t,,ANNUALLY,f,,,,annual-monitoring-reports,2024-07-08,2025-01-07 10:36:26.597392,,,f,,,t
2e451151-6dc2-48c7-83ab-d203bcff6099,Parish,The smallest type of local government administrative area in England,,38,ON_THE_PLATFORM,t,,ANNUALLY,f,"[{""name"": ""parish"", ""label"": ""Civil parish"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/parish.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/parish"", ""dataset_editor_url"": null}]",,,parish,2024-03-25,2024-12-04 11:39:13.321009,,,f,,,t
23b4e5f8-f065-4610-9816-8a5c13f569da,Abandoned mines,Areas where mining has previously taken place but is no longer in use,,105,BACKLOG,t,,,f,,,"{""link_url"": ""https://www.legislation.gov.uk/uksi/1998/892/contents/made"", ""link_text"": ""The Mines (Notice of Abandonment) Regulations 1998""}",abandoned-mines,2024-03-25,2025-01-28 14:10:01.941623,,,f,,,f
447b0fed-6668-410f-b20e-65bbd8eb55ae,Developer contributions,Financial or physical contributions from developers towards the cost of providing appropriate infrastructure and services to support their development,,34,ON_THE_PLATFORM,t,,AD_HOC,f,"[{""name"": ""contribution-funding-status"", ""label"": ""Contribution funding status"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/contribution-funding-status.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/contribution-funding-status"", ""dataset_editor_url"": ""https://dluhc-datasets.planning-data.dev/dataset/contribution-funding-status""}, {""name"": ""contribution-purpose"", ""label"": ""Contribution purpose"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/contribution-purpose.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/contribution-purpose"", ""dataset_editor_url"": ""https://dluhc-datasets.planning-data.dev/dataset/contribution-purpose""}, {""name"": ""developer-agreement-contribution"", ""label"": ""Developer agreement contribution"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/developer-agreement-contribution.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/developer-agreement-contribution"", ""dataset_editor_url"": null}, {""name"": ""developer-agreement-transaction"", ""label"": ""Developer agreement transaction"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/developer-agreement-transaction.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/developer-agreement-transaction"", ""dataset_editor_url"": null}, {""name"": ""developer-agreement-type"", ""label"": ""Developer agreement type"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/developer-agreement-type.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/developer-agreement-type"", ""dataset_editor_url"": ""https://dluhc-datasets.planning-data.dev/dataset/developer-agreement-type""}, {""name"": ""developer-agreement"", ""label"": ""Developer agreement"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/developer-agreement.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/developer-agreement"", ""dataset_editor_url"": null}]",,"{""link_url"": ""https://www.legislation.gov.uk/ukpga/1990/8/contents"", ""link_text"": ""The Town and Country Planning Act 1990 ""}",developer-contributions,2024-03-25,2024-09-26 09:50:40.789409,,"{""link_url"": ""https://digital-land.github.io/specification/specification/developer-contributions/"", ""link_text"": ""Developer Contributions""}",f,,,t
c066a7f8-fd53-422a-a9d6-79290c819e05,5 year housing land supply (5yhls),Data about sites where they are expected to come forward to build-out within the next five years,,102,RESEARCH,t,,,f,,,,5-year-housing-land-supply,2024-08-30,2025-01-24 11:36:14.937112,,,f,,,t
e17adf66-a4d2-4e84-9ea2-e594aa85fd8e,Local wildlife sites,Areas of land that are especially important for their local wildlife,"{""Protected sites""}",208,BACKLOG,t,,,f,,,,local-wildlife-sites,2024-03-25,2025-01-28 16:36:43.746867,,,f,,,t
59f4c505-a62b-4db9-bf40-38fb6660a816,Air quality index,"Tool to show pollution levels in a particular site or region, through determining the concentration of Nitrogen Dioxide, Sulphur Dioxide, Ozone, Particles < 2.5µm (PM2.5), Particles < 10µm (PM10)",,107,BACKLOG,t,,,f,,,,air-quality-index,2024-03-25,2025-01-28 14:10:51.322925,,,f,,,f
aa6c8827-622b-4d1b-aad1-135e6fe41d90,Cultural infrastructure,"Places, spaces, and buildings where cultural activities take place.",,145,BACKLOG,t,,,f,,,,cultural-infrastructure,2025-01-09,2025-01-28 16:07:48.991095,,,f,,,f
625ca867-08c3-47ca-8a95-27a999e5c22e,Water quality,"The condition of water, including chemical, physical, and biological characteristics",,273,BACKLOG,t,,,f,,,,water-quality,2024-03-25,2025-01-28 17:10:33.764434,,,f,,,f
9b8326d9-7f68-4698-85b8-0f178b040d0e,Water stressed areas,Areas where the demand for water exceeds the available amount,,274,BACKLOG,t,,,f,,,,water-stressed-areas,2024-03-25,2025-01-28 17:11:14.300358,,,f,,,f
a31d6c68-e4fe-4f9c-a5e5-54481d971e91,Wildbelt designations,Land currently of low biodiversity value that is designated for nature's recovery,,275,BACKLOG,t,,,f,"[{""name"": ""wildbelt"", ""label"": ""Wildbelt"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/wildbelt.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/wildbelt"", ""dataset_editor_url"": null}]",,,wildbelt-designations,2024-03-25,2025-01-28 17:11:38.902423,,,f,,,t
