id,name,description,synonyms,github_discussion_number,stage,public,expected_number_of_records,frequency_of_updates,prioritised,datasets,useful_links,legislation,slug,created,updated,deleted_date,specification,is_local_land_charge,blocked_reason,os_declaration,is_local_plan_data
3151b259-2c53-480e-9517-8c7e5c937ef3,BGS mineral resources,The geological distribution of all onshore mineral resources,,,ARCHIVED,t,,,f,,,,bgs-mineral-resources,2024-03-25,2024-04-09 14:01:21.543348,,,f,,,f
61517005-0035-4ce0-8652-c0ce9e0bb297,Long established & protected woodland,Areas that have been wooded continuously from 1893,,,ARCHIVED,t,,,f,"[{""name"": ""long-established-woodland"", ""label"": ""Long established woodland"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/long-established-woodland.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/long-established-woodland"", ""dataset_editor_url"": null}, {""name"": ""long-protected-woodland"", ""label"": ""Long protected woodland"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/long-protected-woodland.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/long-protected-woodland"", ""dataset_editor_url"": null}]",,,long-established-protected-woodland,2024-03-25,2024-07-05 15:38:28.478358,,,f,,,f
6871d5e4-b330-4b07-8440-a75098350bbc,Development plans and timetables,The status of emerging and current local plans and other development plans for local planning authorities,"{""Local plans"",""Development plan documents"",""Local development scheme""}",26,TEST_AND_ITERATE,t,,AD_HOC,f,"[{""name"": ""development-plan-document-type"", ""label"": ""Development plan document type"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/development-plan-document-type.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/development-plan-document-type"", ""dataset_editor_url"": ""https://dluhc-datasets.planning-data.dev/dataset/development-plan-document-type""}, {""name"": ""development-plan-document"", ""label"": ""Development plan document"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/development-plan-document.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/development-plan-document"", ""dataset_editor_url"": null}, {""name"": ""development-plan-event"", ""label"": ""Development plan event"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/development-plan-event.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/development-plan-event"", ""dataset_editor_url"": ""https://dluhc-datasets.planning-data.dev/dataset/development-plan-event""}, {""name"": ""development-plan-geography-type"", ""label"": ""Development plan geography type"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/development-plan-geography-type.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/development-plan-geography-type"", ""dataset_editor_url"": ""https://dluhc-datasets.planning-data.dev/dataset/development-plan-geography-type""}, {""name"": ""development-plan-geography"", ""label"": ""Development plan geography"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/development-plan-geography.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/development-plan-geography"", ""dataset_editor_url"": null}, {""name"": ""development-plan-status"", ""label"": ""Development plan status"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/development-plan-status.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/development-plan-status"", ""dataset_editor_url"": ""https://dluhc-datasets.planning-data.dev/dataset/development-plan-status""}, {""name"": ""development-plan-timetable"", ""label"": ""Development plan timetable"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/development-plan-timetable.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/development-plan-timetable"", ""dataset_editor_url"": null}, {""name"": ""development-plan-type"", ""label"": ""Development plan type"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/development-plan-type.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/development-plan-type"", ""dataset_editor_url"": ""https://dluhc-datasets.planning-data.dev/dataset/development-plan-type""}, {""name"": ""development-plan"", ""label"": ""Development plan"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/development-plan.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/development-plan"", ""dataset_editor_url"": null}]","[{""link_url"": ""https://www.gov.uk/guidance/plan-making"", ""link_text"": ""Plan-making guidance""}, {""link_url"": ""https://app.mural.co/t/mhclg2837/m/mhclg2837/1718210633604/0ef44d48a82d8a72f5b1a4e81d9a46fcfe4ec880?wid=0-1718212491587"", ""link_text"": ""Concept map (mural)""}, {""link_url"": ""https://digital-land.github.io/local-plans-timetable/"", ""link_text"": ""Create Local Plan Timetable (Prototype)""}]","{""link_url"": ""https://design.planning.data.gov.uk/planning-consideration/development-plans-and-timetables/screen/#is-there-legislation"", ""link_text"": ""See legislation details""}",development-plans-and-timetables,2024-03-25,2024-08-29 06:07:20.244504,,"{""link_url"": ""https://digital-land.github.io/specification/specification/development-plan/"", ""link_text"": ""Development plan""}",f,,,t
7cac6c4c-6047-463b-9bed-207c6df6b463,Design codes,A Design Code is a set of design requirements providing specific parameters for the physical development of a site or area. They set expectations of design quality for any upcoming development.,"{""Design Guides""}",27,TEST_AND_ITERATE,t,,AD_HOC,t,"[{""name"": ""design-code-area-type"", ""label"": ""Design code area type"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/design-code-area-type.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/design-code-area-type"", ""dataset_editor_url"": ""https://dluhc-datasets.planning-data.dev/dataset/design-code-area-type""}, {""name"": ""design-code-area"", ""label"": ""Design code area"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/design-code-area.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/design-code-area"", ""dataset_editor_url"": null}, {""name"": ""design-code-characteristic"", ""label"": ""Design code characteristic"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/design-code-characteristic.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/design-code-characteristic"", ""dataset_editor_url"": ""https://dluhc-datasets.planning-data.dev/dataset/design-code-characteristic""}, {""name"": ""design-code-rule-category"", ""label"": ""Design code rule category"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/design-code-rule-category.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/design-code-rule-category"", ""dataset_editor_url"": ""https://dluhc-datasets.planning-data.dev/dataset/design-code-rule-category""}, {""name"": ""design-code-rule"", ""label"": ""Design code rule"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/design-code-rule.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/design-code-rule"", ""dataset_editor_url"": null}, {""name"": ""design-code-status"", ""label"": ""Design code status"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/design-code-status.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/design-code-status"", ""dataset_editor_url"": ""https://dluhc-datasets.planning-data.dev/dataset/design-code-status""}, {""name"": ""design-code"", ""label"": ""Design code"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/design-code.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/design-code"", ""dataset_editor_url"": null}]","[{""link_url"": ""https://www.gov.uk/guidance/creating-a-design-code"", ""link_text"": ""Design code guidance""}, {""link_url"": ""https://app.mural.co/t/mhclg2837/m/mhclg2837/1709140526813/9a28b5a76405c33dbb1568a2870a5e6057bf0b91?sender=u254215e050d2f98c69580938"", ""link_text"": ""Draft data model (living document)""}, {""link_url"": ""https://design-code-prototype.planning-data.dev/"", ""link_text"": ""Design code library proof of concept""}, {""link_url"": ""https://www.local.gov.uk/sites/default/files/documents/DLUHC%20PAS%20LURB%20Design%20Code%20presentation.pdf"", ""link_text"": ""Background on design code policy""}, {""link_url"": ""https://docs.google.com/spreadsheets/d/1oLuL8rQ3yBz0fzycDZQczLxFZ-PpAKzNaG2swrRPF1E/edit?usp=sharing"", ""link_text"": ""Design code template spreadsheet""}]","{""link_url"": ""https://www.legislation.gov.uk/ukpga/2023/55/contents/enacted"", ""link_text"": ""Levelling Up and Regeneration Act (2023)""}",design-codes,2024-03-25,2024-08-30 13:26:03.653509,,"{""link_url"": ""https://digital-land.github.io/specification/specification/design-code/"", ""link_text"": ""Design code""}",f,,,t
fced4f94-9dd5-45e8-9a12-737317320838,Internal drainage district,Areas that derive benefit or avoid danger as a result of drainage operations,,188,BACKLOG,t,,,f,"[{""name"": ""internal-drainage-board"", ""label"": ""Internal drainage board"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/internal-drainage-board.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/internal-drainage-board"", ""dataset_editor_url"": null}, {""name"": ""internal-drainage-district"", ""label"": ""Internal drainage district"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/internal-drainage-district.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/internal-drainage-district"", ""dataset_editor_url"": null}]",,,internal-drainage-district,2024-03-25,2025-01-28 16:30:12.229323,,,f,,,f
8c4f91df-8ae4-417e-a24d-bf28ba9a952b,BGS infiltration Sustainable Drainage Systems (SuDS),An initial indication of the suitability of the ground for infiltration SuDS,,,ARCHIVED,t,,,f,,,,bgs-infiltration-sustainable-drainage-systems,2024-03-25,2024-09-05 10:08:50.683209,,,f,,,t
ec5a8e87-a510-4147-ab57-2f061e557e46,Invasive non native species,Species which have been introduced into areas outside their natural range through human actions and are posing a threat to native wildlife,,189,BACKLOG,t,,,f,,,,invasive-non-native-species,2024-03-25,2025-01-28 16:30:35.312734,,,f,,,f
8e92df53-a37a-41c0-8c9d-656a19fbb870,Lakes,Large areas of fresh water surrounded by land,{Watercourses},191,BACKLOG,t,,,f,,,,lakes,2024-03-25,2025-01-28 16:31:16.0177,,,f,,,f
3619e662-648f-4b5a-9514-e33a729e301d,Greenbelt,An area of open land around a city that cannot be built on,"{""Green belt""}",45,ON_THE_PLATFORM,t,,AD_HOC,f,"[{""name"": ""green-belt-core"", ""label"": ""Green belt core"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/green-belt-core.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/green-belt-core"", ""dataset_editor_url"": ""https://dluhc-datasets.planning-data.dev/dataset/green-belt-core""}, {""name"": ""green-belt"", ""label"": ""Green belt"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/green-belt.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/green-belt"", ""dataset_editor_url"": null}]","[{""link_url"": ""https://www.gov.uk/guidance/green-belt"", ""link_text"": ""Greenbelt guidance""}]",,greenbelt,2024-03-25,2024-09-26 16:03:05.787416,,,f,,,t
7e3d7fc7-fe1b-4307-afdc-300f2e3a2958,Building safety levy,"Developers will pay a Levy on new residential buildings which
require building control approval, unless exempt to ensure
fairness and mitigate supply impacts. The Levy will raise funds to pay for remediation of cladding on buildings,
where a developer cannot be held responsible or identified, and is a key
element of ensuring industry pays.",,124,BACKLOG,t,,,f,,"[{""link_url"": ""https://www.local.gov.uk/sites/default/files/documents/BSL%20webinar%20slides.pdf"", ""link_text"": ""Building Safety Levy by MHCLG (2024-11-18)""}]",,building-safety-levy,2025-01-12,2025-01-28 14:24:35.87382,,,f,,,f
2c6607da-f515-446d-97be-8f336dd5e91c,Community halls,Community halls are available to the public for community-related recreational activities.,,134,BACKLOG,t,,,f,,,,community-halls,2024-03-25,2025-01-28 14:29:05.696171,,,f,,,t
ac1e862c-a45d-43e1-81d4-e0bb508e5d1d,County council,"Local government tier, often having the role of minerals and waste planning authority, highways authority and statutory consultee.",,142,BACKLOG,t,,,f,,,,county-council,2024-03-25,2025-01-28 16:06:41.275286,,,f,,,f
603f9f05-a061-4aac-9794-b8fcd5ea06c0,Open roads,"High-level view of the road network, from motorways to country lanes",,83,CO_DESIGN,t,,EVERY_6_MONTHS,f,,"[{""link_url"": ""https://www.ordnancesurvey.co.uk/business-government/products/open-map-roads"", ""link_text"": ""National dataset documentation page""}]",,open-roads,2024-03-25,2024-09-05 10:53:47.226539,,,f,,,f
8e31b7e6-87b2-4daa-8e11-26b863750bc6,Conservation areas,An area of special architectural or historic interest with a character or appearance that must be preserved or enhanced ,,33,ON_THE_PLATFORM,t,10000,AD_HOC,f,"[{""name"": ""conservation-area"", ""label"": ""Conservation area"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/conservation-area.md"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/conservation-area"", ""dataset_editor_url"": null}, {""name"": ""conservation-area-document"", ""label"": ""Conservation area document"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/conservation-area-document.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/conservation-area-document"", ""dataset_editor_url"": null}, {""name"": ""conservation-area-document-type"", ""label"": ""Conservation area document type"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/conservation-area-document-type.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/conservation-area-document-type"", ""dataset_editor_url"": ""https://dluhc-datasets.planning-data.dev/dataset/conservation-area-document-type""}]","[{""link_url"": ""https://docs.google.com/document/d/1xXmcLRxSzEzLB9Z2H2ztsjh75ZtpSVz0V89R2j-hC1g/edit"", ""link_text"": ""Design process document""}, {""link_url"": ""https://app.mural.co/t/mhclg2837/m/mhclg2837/1712065213311/0ddf4128ff318850d5965b157fb7ebd91e3c140a?sender=u1cae178c0a712eade24c2472"", ""link_text"": ""Conservation areas process map""}, {""link_url"": ""https://www.gov.uk/guidance/conserving-and-enhancing-the-historic-environment"", ""link_text"": ""Historic environment guidance""}]","{""link_url"": ""https://www.legislation.gov.uk/ukpga/1990/9/part/II "", ""link_text"": ""Planning (Listed Building and Conservation Areas) Act 1990, Part II""}",conservation-areas,2024-03-25,2024-09-04 11:21:41.157528,,"{""link_url"": ""https://digital-land.github.io/specification/specification/conservation-area/"", ""link_text"": ""Conservation area""}",t,,"{""status"": ""Presumption to publish"", ""further_information_url"": ""https://github.com/digital-land/data-standards-backlog/discussions/33#discussioncomment-10190956""}",t
f14b4a63-f760-41ae-b0ed-07d4e5c4d579,Local nature reserves,A protected area of land designated by a local authority because of its special natural interest or educational value,"{""Protected sites""}",48,ON_THE_PLATFORM,t,,AD_HOC,f,"[{""name"": ""local-nature-reserve"", ""label"": ""Local nature reserve"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/local-nature-reserve.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/local-nature-reserve"", ""dataset_editor_url"": null}]","[{""link_url"": ""https://naturalengland-defra.opendata.arcgis.com/datasets/Defra::local-nature-reserves-england/about"", ""link_text"": ""National dataset documentation page""}, {""link_url"": ""https://services.arcgis.com/JJzESW51TqeY9uat/arcgis/rest/services/Local_Nature_Reserves_England/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson"", ""link_text"": ""URL of national dataset""}, {""link_url"": ""https://docs.google.com/document/d/1ZObCVL1dGKVEgputfdwPs-Ih43UH5Mradk4zvteeA_Y/edit#heading=h.lb9do641w06g"", ""link_text"": ""Fact sheet url""}]","{""link_url"": ""https://www.legislation.gov.uk/ukpga/Geo6/12-13-14/97/section/21"", ""link_text"": ""Section 21 of the National Parks and Access to the Countryside Act 1949""}",local-nature-reserves,2024-03-25,2024-09-04 11:36:26.405996,,,f,,,t
395d2157-3550-44f5-a964-6d7c7a8a8327,Hazardous waste interrogator,,,,ARCHIVED,t,,,f,,,,hazardous-waste-interrogator,2024-03-25,2024-07-19 08:48:20.982244,,,f,,,f
3bc3d939-cd2f-4f08-b47c-3fe066d0763e,Land to be acquired for roadworks,Land reserved for roadworks,,194,BACKLOG,t,,,f,,,"{""link_url"": ""https://www.legislation.gov.uk/ukpga/1990/8/contents"", ""link_text"": ""Town and Country Planning Act 1990""}",land-to-be-acquired-for-roadworks,2024-03-25,2025-01-28 16:32:44.106879,,,f,,,f
e56e8e80-cffa-43cf-a8d8-77090db1f0d2,Nationally Significant Infrastructure Projects (NSIP),"Major infrastructure projects such as new harbours, roads, power generating stations (including offshore wind farms) and electricity transmission lines, which require a type of consent known as ‘development consent’",,,ON_THE_PLATFORM,t,,AD_HOC,f,"[{""name"": ""infrastructure-project-decision"", ""label"": ""Infrastructure project decision"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/infrastructure-project-decision.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/infrastructure-project-decision"", ""dataset_editor_url"": ""https://dluhc-datasets.planning-data.dev/dataset/infrastructure-project-decision""}, {""name"": ""infrastructure-project-document-type"", ""label"": ""Infrastructure project document type"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/infrastructure-project-document-type.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/infrastructure-project-document-type"", ""dataset_editor_url"": ""https://dluhc-datasets.planning-data.dev/dataset/infrastructure-project-document-type""}, {""name"": ""infrastructure-project-document"", ""label"": ""Infrastructure project document"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/infrastructure-project-document.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/infrastructure-project-document"", ""dataset_editor_url"": null}, {""name"": ""infrastructure-project-event"", ""label"": ""Infrastructure project event"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/infrastructure-project-event.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/infrastructure-project-event"", ""dataset_editor_url"": ""https://dluhc-datasets.planning-data.dev/dataset/infrastructure-project-event""}, {""name"": ""infrastructure-project-log"", ""label"": ""Infrastructure project log"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/infrastructure-project-log.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/infrastructure-project-log"", ""dataset_editor_url"": null}, {""name"": ""infrastructure-project-type"", ""label"": ""Infrastructure project type"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/infrastructure-project-type.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/infrastructure-project-type"", ""dataset_editor_url"": ""https://dluhc-datasets.planning-data.dev/dataset/infrastructure-project-type""}, {""name"": ""infrastructure-project"", ""label"": ""Infrastructure project"", ""schema_url"": ""https://github.com/digital-land/specification/blob/main/content/dataset/infrastructure-project.md?plain=1"", ""platform_url"": ""https://www.planning.data.gov.uk/dataset/infrastructure-project"", ""dataset_editor_url"": null}]","[{""link_url"": ""https://www.gov.uk/guidance/guidance-on-procedural-requirements-for-major-infrastructure-projects"", ""link_text"": ""NSIP guidance""}]",,nationally-significant-infrastructure-projects,2024-03-25,2024-09-02 14:37:40.410666,,"{""link_url"": ""https://digital-land.github.io/specification/specification/infrastructure-project/"", ""link_text"": ""Infrastructure project""}",f,,,f
