id,name
629d533a-9479-4c18-8e28-29c28b21e185,defra - complied
cb0091da-ac9b-4422-9d83-79d2c764fd89,defra - national
d9fbb353-c56e-4f54-a85f-faca45119b95,housing
650995b2-e29f-4aef-9b49-43c6939f195c,local land charge
184f9c68-19a4-4c1e-b91d-6f685c563f10,odp
24779d44-7d4c-4b85-ad33-8e8a599dcae1,local plan
f1649766-aa89-4711-a90d-8b7e4c745d2c,heritage
0e2c90ee-a3ff-441d-b732-95c3997c2762,culture
d2099b9a-a04d-4179-a8a8-3386757bf384,building-control
99820bb1-7884-48c3-9a2f-965e7b207686,levy
4fa85736-b266-408a-8863-9dcbdca81180,development-plan:part-of
493e532f-6421-4e8e-b842-74d5a4fc136a,energy
c2a4eb7d-743d-405c-92c2-8394d3931cf5,nist
4f58ee18-6f90-41b9-951e-85e9e34fe5c3,environment
21de1d28-2f71-4607-928b-b7cbb9ce5cb8,existing-data
