Concern,Status,Stage,Also called,Trigger,Consultative,Fact sheet url,Our documentation doc,What does it support,Householder PlanX priority,Open planning software,HMLR Local land charges,CON29,Development plans (inc. Local Plans),Development consent orders (NSIP),Development management,Infrastructure Delivery Strategies,Biodiversity Net Gain,Environmental planning assessment,Historic Environment Record,Environmental outcome report,Planning Inspectorate,Street votes,Site allocations,"Bringing together housing, land and planning geospatial datasets",Description,Policy team,Legislation,Boundary,Point,Metric,Document,Category,Needs a standard,Who is responsible / officially designates,Authoritative source,Where we're getting data from,Expected number of sources,Expected number of records,Frequency of data updates,Related planning considerations,Dataset name,National dataset documentation page,URL of national dataset,License,Personal/sensitive information?,Who asked for it,issue-number,discussion-number,specification-url
3G/ 4G/ 5G coverage,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Coverage of mobile phone networks,,"Access to Telecommunications
Networks Bill 2023-24",✓,,✓,,,,,,,,,,,,,,,,,,,
Abandoned mines,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Areas where mining has previously taken place but is no longer in use,,The Mines (Notice of Abandonment) Regulations 1998,✓,,,,,,,Coal Authority,,,,,,,,,,,,,,
Advertisments,Archived,Archived,,,,,,,,,,,,,,,,,,,,,,,Areas where hoardings or similar are used for advertising,,,,,,,,Yes,,Local planning authorities,,,,,,,,,,,,,,
Agricultural land classification,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,✓,A system that grades the quality of land for agricultural use,,PPG for the Natural Environment,✓,,✓,,,,,Natural England,,,,,,Provisional Agricultural Land Classification,https://naturalengland-defra.opendata.arcgis.com/datasets/Defra::provisional-agricultural-land-classification-alc-england/about,https://services.arcgis.com/JJzESW51TqeY9uat/arcgis/rest/services/Provisional Agricultural Land Classification (ALC) (England)/FeatureServer/0/query?outFields=*&where=1%3D1&f=geojson,ogl3,No,,,,
Air quality index,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Tool to show pollution levels in a particular site or region, through determining the concentration of Nitrogen Dioxide, Sulphur Dioxide, Ozone, Particles < 2.5µm (PM2.5), Particles < 10µm (PM10)",,,✓,,✓,,,,,DEFRA,,,,,,,,,,,,,,
Air quality management areas,Prioritised backlog,Screen,Air quality management locations,✓,,https://docs.google.com/document/d/1TU0-gSBKGoc6XJMtm_ccB1W3z2zb_1SvVakfn2yiE4w/edit#heading=h.9rwg3m580tpf,,Modern planning software,,,,,,,,,,✓,,,,,,,Areas where air pollution levels have exceeded the national air quality objectives,,The Environment Act 1995,✓,,,✓,,,,DEFRA,,Single,Small,,,,,,,,Environmental planning assessment,,55,
Air quality management locations,Backlog,Archived,Air quality management areas,,,,,Modern planning software,,,,,,,,,,✓,,,,,,,Locations of air quality monitoring sites,,,✓,,,,,Yes,,DEFRA;Local planning authorities,,Single,Small,,,,,,,,Environmental planning assessment,,,
Allotments,Backlog,Backlog,,,,,,,,,,,,,,,,✓,,,,,,,"Land used by communities for growing vegetables, fruit, herbs or flowers which is not for profit",,,✓,,,,,,,Local planning authorities,Local planning authorities,,,,,,,,,,Environmental planning assessment,,,
Ancient and Veteran Trees,Backlog,Backlog,Veteran trees,,,,,,,,,,,,,,,,,,,,,,"A tree that is of interest biologically, culturally or aesthetically because of its age, size or condition",,"Natural England, Forestry Commission",✓,,,,,,,"Natural England, The Tree Council, The Woodland Trust, The Forestry Commission",,,,,,,,,,,,,,
Ancient woodlands,On the platform,On the platform,,,,,,Modern planning software,,✓,,,,✓,,,,✓,,,,,,✓,Areas that have been wooded continuously since at least 1600 AD,,,✓,,,,,No,,Natural England;Local Environmental Records Centres;British Geological Survey;Envionment Agency,Natural England,Multiple,Medium,Monthly,,Ancient Woodland (England),https://data.gov.uk/dataset/9461f463-c363-4309-ae77-fdcd7e9df7d3/ancient-woodland-england,https://opendata.arcgis.com/datasets/a14064ca50e242c4a92d020764a6d9df_0.geojson,,,Development consent orders (NSIP);Environmental planning assessment,17,32,
Archaeological remains,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,"Sites where archaeological remains are discovered, and require conservation",,Ancient Monuments and Archaeological Areas Act 1979,✓,,,,,,,,,,,,,,,,,,,,,
Area habitats,Backlog,Backlog,,,,,,,,,,,,,,,✓,,,,,,,,Habitats recorded in the biodiversity metric tool in area (hectares) used to calculate BNG.,,The Environment Act 2021,✓,,✓,,,,,,,,,,,,,,,,The biodiversity metric 4.0 and small sites metric GIS data standard,,,
Area of archaeological importance,Backlog,Backlog,,,,,,,,,,,✓,,✓,,,,,,,,,,Areas designated to protect archaeological remains from being damaged or destroyed,,Ancient Monuments and Archaeological Areas Act 1979,✓,,,,,,,,"Canterbury City Council, Chester West and Chester Council, Exeter City Council, Hereford City Council, City of York Council",Multiple,Small,,,,,,,,,,,
Area of deficiency in access to nature,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Areas over 1km walking distance from Sites of importance for Nature Conservation (SINCs),,,✓,,,,,,,,Greenspace for Greater London (GiGL),Multiple,Medium,,Sites of Importance to Nature Conservation,,,,,,,,,
Area of deficiency in access to public open space,Backlog,Backlog,,,,,,,,,,,,,,,,,,,,,,,Areas over specific walking distance from each of the categories of public open space as set out within the London Plan,,The London Plan,✓,,,,,,,,Greenspace for Greater London (GiGL),Multiple,Medium,,,,,,,,,,,
Areas for environmental enhancement,Archived,Archived,,,,,,,,,,,✓,,,,,,,,,,,,Areas where new habitats for wildlife will be created or restored,,,✓,,,,,Yes,,Local planning authorities,,Multiple,Small,,,,,,,,Local plans,,,
Areas of outstanding natural beauty,On the platform,On the platform,"Protected sites, AONB, National Landscape",,,,,Modern planning software,,✓,,,✓,,,,,,,✓,,,,,Land protected by law to conserve and enhance its natural beauty,,Countryside and Rights of Way Act (2000) (CROW),✓,,,,,No,,Natural England,Natural England,Single,Small,,,Areas of Outstanding Natural Beauty (England),https://naturalengland-defra.opendata.arcgis.com/datasets/areas-of-outstanding-natural-beauty-england,https://opendata.arcgis.com/datasets/6f2ad07d91304ad79cdecd52489d5046_0.geojson,,,Local plans,19,31,
Areas which would benefit from flood defences,Backlog,Backlog,,,,,,,,,,,,✓,,,,✓,,,,,,✓,Areas that would benefit from the presence of defences in a 1 percent fluvial / 0.5 percent tidal flood event.,,,✓,,,,,,,Natural Resources Wales,,,,,,,https://ckan.publishing.service.gov.uk/dataset/flood-map-for-planning-rivers-and-sea-areas-benefiting-from-defences,,,,Development consent orders (NSIP);Environmental planning assessment,,,
