id,considerations,backlog,screen,research,co_design,test_and_iterate,ready_for_go_no_go,prepared_for_platform,on_the_platform,archived,blocked,date
b1d7161c-9b87-43d7-bca2-eebe494582fc,383,187,14,5,16,7,0,1,32,121,13,2024-08-02
a544dcb4-9c53-4eaa-99eb-7eca7b6608ed,383,187,14,5,16,7,0,1,32,121,13,2024-08-03
d34bb1e8-c01a-4083-8078-3dc616ce81f5,383,187,14,5,16,7,0,1,32,121,13,2024-08-04
79ab2893-e10f-4f8c-8eb4-2fc471edb887,383,187,14,5,16,7,0,1,32,121,13,2024-08-05
952b5a51-25ed-4f10-addd-d3dc031f337f,383,186,14,6,16,7,0,1,32,121,13,2024-08-06
113d911d-d763-4d74-ad36-6ee2828dd47d,383,186,14,6,16,7,0,1,32,121,13,2024-08-07
f8244de0-bda7-4eef-9091-71d2ffa45fbd,383,184,15,7,16,7,0,1,32,121,13,2024-08-08
9cd4dd56-ae24-426d-ba6a-1ba448bd43ca,383,184,15,6,17,7,0,1,32,121,13,2024-08-09
234bff49-40ca-4097-9ba9-b01e673f8b24,385,186,14,6,18,7,0,1,32,121,13,2024-08-10
821b5140-fbab-4052-9084-ca182273208b,385,186,14,6,18,7,0,1,32,121,13,2024-08-11
0c3c779a-c5f6-49fc-b067-cf5252d302c6,385,186,14,6,18,7,0,1,32,121,13,2024-08-12
b75fb871-53d0-46b2-83ea-dfdf36f2f88a,385,185,15,6,18,7,0,1,32,121,13,2024-08-13
95136341-aeea-4974-8b50-a22b02f6f006,385,185,15,6,18,7,0,1,32,121,13,2024-08-14
8c1d0d1a-9320-41e5-90dc-978f11957ef4,386,186,15,6,18,7,0,1,32,121,13,2024-08-15
1500effd-66d7-45d2-8c4a-7de484dee5b6,386,186,15,6,18,7,0,1,32,121,13,2024-08-16
4feab9e2-855c-46eb-91b2-b0ef6711527e,386,186,14,6,19,7,0,1,32,121,13,2024-08-17
da63a261-ba07-4a8e-b127-4144eaa7b30e,386,186,14,6,19,7,0,1,32,121,13,2024-08-18
48428c08-7622-4115-b164-6d39d60f881d,386,186,14,6,19,7,0,1,32,121,13,2024-08-19
99581cf6-7ceb-45eb-bc93-b6e93b864087,386,184,15,6,20,7,0,1,32,121,13,2024-08-20
